mid,team,date,rating_found,rating_n,rating_mean,rating_min,rating_max,n_todos_assigned,n_issues_raised,n_issues_resolved_same_meeting,issue_resolution_rate_same_meeting,week,n_todos_tracked,n_todos_done,n_todos_partial,n_todos_not_done,n_todos_unmentioned,todo_completion_rate,dur_min,baseline_entropy,entropy_sd,det_median,pct_time_reorganizing,n_events,reorg_event_rate,mean_event_depth,mean_event_peak_z,boundary_alignment_pct,n_bounds,ids_entropy,ids_det,ids_reorg_rate,review_entropy,review_det,review_reorg_rate
2025.03.25startup_a,startup_a,20250325,True,2,8.5,8.0,9.0,4,2,2,100.0,13,4.0,2.0,1.0,1.0,0.0,62.5,83.55,31.681291832452217,15.333482334658198,92.57394587791065,4.101838755304102,33,3.949730700179533,11.370225655580985,3.3115637341409463,31.05247211649529,24,29.52705544890114,87.84167610650499,2.689486552567237,33.019615608923495,86.62949837851488,4.81335952848723
2025.03.31startup_a,startup_a,20250331,True,3,9.666666666666666,9.0,10.0,3,4,4,100.0,14,3.0,0.0,0.0,0.0,3.0,,83.8,34.26735233016678,15.489249143479569,88.69931309550188,2.7124773960216997,22,2.6252983293556085,8.813038667467687,3.282748962112839,25.83154506437768,24,31.88006050142307,84.75515420112258,2.4755927475592747,37.21870895439165,81.7689464875287,1.344743276283619
2025.04.07startup_a,startup_a,20250407,True,2,10.0,10.0,10.0,2,2,2,100.0,15,2.0,0.0,0.0,0.0,2.0,,96.83333333333331,38.76810632224862,21.08851805148843,88.47154001733603,3.6490008688097304,36,3.7177280550774534,18.52135136766614,3.128092607486894,33.66364244812969,36,36.52795606976604,81.69044471284884,3.221714865550482,49.78380579898443,76.10251888888297,5.660377358490566
2025.04.14startup_a,startup_a,20250414,True,1,10.0,10.0,10.0,4,4,4,100.0,16,,,,,,,102.36666666666666,36.326338497442464,22.44172650160444,92.3954812112365,2.753049785690735,25,2.4422012373819606,18.22017239399412,3.4034506542898275,45.01362368762031,29,36.59588975105376,86.77729157450305,1.7605633802816902,,,
2024.10.14startup_b,startup_b,20241014,True,2,6.5,6.0,7.0,2,1,1,100.0,0,2.0,1.0,0.0,0.0,1.0,100.0,99.06666666666666,48.081981303254665,21.26619078279973,74.0012435016754,3.3094506994199935,35,3.5329744279946165,16.280721967054497,3.2443855453773787,35.27796820207241,54,48.49439548692864,66.18630320620748,2.152819890842935,52.6984931869288,58.98665609664316,7.019704433497537
2024.10.28startup_b,startup_b,20241028,True,3,10.0,10.0,10.0,6,2,0,0.0,1,6.0,4.0,2.0,0.0,0.0,83.33333333333333,88.6,36.65688076138986,16.47466545785106,86.88147295742232,3.886454562773862,35,3.950338600451467,11.216130525288056,2.997960370483363,43.44968756733463,36,34.54359464722482,80.39536215143157,3.64920541494997,34.95330353866317,80.66798180484997,3.937653814602133
2024.11.04startup_b,startup_b,20241104,True,3,10.0,10.0,10.0,12,2,1,50.0,2,12.0,6.0,4.0,1.0,1.0,72.72727272727273,81.9,40.27018188658579,13.856978286881269,83.34624322230829,3.2756866734486265,25,3.0525030525030523,6.388375289906148,3.0633244443529044,49.197056971838265,31,37.117411725758615,81.41736708400731,2.185501066098081,46.47386729180901,74.91693070934375,3.2828282828282833
2024.11.11startup_b,startup_b,20241111,True,2,10.0,10.0,10.0,10,6,2,33.333333333333336,3,10.0,5.0,4.0,1.0,0.0,70.0,90.91666666666669,40.944246091400274,20.07745514165683,83.35664718509003,2.609992542878449,30,3.2997250229147563,18.90127109015976,3.0865239073275452,53.55844155844156,43,35.00401247398632,80.33659882094912,0.902335456475584,49.8205354943777,64.91939985923683,7.475728155339806
2024.11.18startup_b,startup_b,20241118,True,3,10.0,10.0,10.0,3,3,0,0.0,4,3.0,2.0,0.0,0.0,1.0,100.0,87.15,37.6916019202954,18.195744006035316,87.49795951681358,3.463035019455253,26,2.9833620195065977,14.98548762883437,3.190078676087376,36.39922351065745,32,29.580269353042777,88.56756415528614,0.8788159111933395,39.65832785959721,74.50236239071529,5.220558478348846
2024.12.02startup_b,startup_b,20241202,True,1,8.0,8.0,8.0,7,2,0,0.0,5,7.0,3.0,1.0,2.0,1.0,58.333333333333336,88.43333333333334,52.010138527812515,14.376721873441952,55.4184246009308,2.9748283752860414,25,2.826988315114964,6.432733116045566,3.1337537195230625,46.95498369979886,58,52.06586674252121,53.95870654985976,1.924198250728863,51.27760672043741,53.344710226565965,6.090373280943026
2024.12.16startup_b,startup_b,20241216,True,1,10.0,10.0,10.0,6,4,2,50.0,6,6.0,5.0,0.0,0.0,1.0,100.0,86.23333333333333,42.01309351252358,16.22836706609133,80.8858483269938,3.3104799216454457,30,3.4789331271743333,12.665676406574368,3.085064916083992,21.7643207009038,43,42.05303200996042,73.48701051578487,4.328424810352521,39.55794890236612,80.63962864956633,1.803512102515425
2024.12.23startup_b,startup_b,20241223,True,2,8.0,8.0,8.0,1,2,0,0.0,7,1.0,0.0,0.0,1.0,0.0,0.0,90.03333333333333,36.32558281218061,16.781941975041864,85.44855510013313,3.4864104967197753,30,3.3320992225101813,11.903320266609748,3.166669603471903,42.40728239186493,35,32.87732011510314,79.90937817718064,3.170028818443804,34.2091560549421,80.9469066179016,2.3957409050576755
2025.01.06startup_b,startup_b,20250106,True,1,9.0,9.0,9.0,8,5,2,40.0,8,8.0,5.0,1.0,1.0,1.0,78.57142857142857,95.76666666666668,46.46453113355105,23.90293728145841,88.50693031410238,3.850229600847757,33,3.4458753915767484,17.370832206384623,3.2343110942342563,29.11733859919312,34,37.045071041958934,87.30298425189685,0.322234156820623,47.79333750721833,81.25828310013577,4.153809636838357
2025.01.13startup_b,startup_b,20250113,True,1,9.0,9.0,9.0,7,7,5,71.42857142857143,9,8.0,0.0,0.0,0.0,8.0,,92.38333333333334,30.866918734899706,17.028848967859314,89.7486644622081,3.926558807489548,27,2.9226050874977445,15.863654804610128,3.551207757653202,53.853364262371606,32,24.068040051898105,87.91105856999451,2.427781192378611,37.45419177132177,80.21996579560044,4.2972699696663295
2025.02.10startup_b,startup_b,20250210,True,2,8.5,8.0,9.0,6,4,1,25.0,10,6.0,1.0,0.0,2.0,3.0,33.333333333333336,88.33333333333333,51.99746904599231,19.599730667822243,82.12454212454213,3.4522220102994465,19,2.150943396226415,11.604610739852674,3.504480619954915,16.60686467596989,33,45.70429902222524,80.05782521769818,2.183121537960248,51.93753492037708,79.63461268986902,1.481103166496425
2025.02.24startup_b,startup_b,20250224,False,0,,,,10,7,4,57.142857142857146,11,10.0,5.0,0.0,2.0,3.0,71.42857142857143,83.7,34.00641716696887,16.218034086997722,89.43977642190467,2.392921777599035,16,1.911589008363202,14.713475618990351,3.810204872725744,63.681317775217735,26,26.2766093512857,86.9562676917759,0.8600469116497261,40.86857465935255,80.8217323971312,3.290246768507638
2025.03.17startup_b,startup_b,20250317,True,2,9.5,9.0,10.0,6,3,1,33.333333333333336,12,6.0,4.0,1.0,1.0,0.0,75.0,103.85,39.20704998786921,19.087790892830185,80.52805280528052,3.2127865676461096,23,2.21473278767453,18.234750444692608,3.5739333860847418,36.52688627947281,45,37.641400608466256,74.2690845708118,2.408745599407078,46.778629501493256,68.13888520858966,10.465116279069768
2025.03.24startup_b,startup_b,20250324,True,2,10.0,10.0,10.0,5,3,3,100.0,13,5.0,0.0,1.0,0.0,4.0,50.0,86.03333333333333,41.91072521461688,15.405003582170195,75.85114806017418,3.500491642084562,27,3.138318481208834,11.961864632674308,3.2340994821112843,31.632055658993355,36,41.31277870464016,70.55697603899769,3.194712200495731,38.049537251234455,79.30612738529418,3.004005340453938
2025.03.31startup_b,startup_b,20250331,True,1,10.0,10.0,10.0,3,3,1,33.333333333333336,14,3.0,1.0,1.0,0.0,1.0,75.0,103.75,30.58832566578169,17.459161797799016,92.95107837980012,4.002592772646248,41,3.9518072289156625,15.643531512834995,3.114875451459776,17.770761426063387,29,23.07641055855275,89.71878314385752,3.278688524590164,39.98623699548876,80.47012470051432,5.926430517711172
2025.04.07startup_b,startup_b,20250407,False,0,,,,5,3,2,66.66666666666667,15,5.0,2.0,0.0,0.0,3.0,100.0,106.36666666666666,43.25360530757939,16.684895714105938,76.15385058458341,2.8798727128082735,36,3.3845189595738017,6.428114611960207,2.9460735743777473,5.377045590375517,50,41.68160755232364,71.33833182449418,3.40365682137834,47.276978968619765,69.87989347438418,1.87007874015748
2025.04.14startup_b,startup_b,20250414,True,2,10.0,10.0,10.0,4,2,2,100.0,16,,,,,,,85.13333333333334,34.06234383354353,17.40807505713355,91.27540294323757,3.642843001385864,26,3.0540328895849647,16.996416734644658,3.3147616457697855,56.49706875007299,25,32.365997768778925,85.05381585974538,3.717890941865705,,,
