mid,episode,utt_start,utt_end,n_utt,sec_start,sec_end
2024.10.25startup_a,7,323,399,77,3642.0,4455.0
2024.10.25startup_a,8,400,453,54,4456.0,4826.0
2024.10.25startup_a,9,454,512,59,4848.0,5257.0
2024.10.28startup_b,0,0,77,78,0.0,816.0
2024.10.28startup_b,1,78,145,68,821.0,1589.0
2024.10.28startup_b,2,146,169,24,1589.0,1783.0
2024.10.28startup_b,3,170,224,55,1785.0,2217.0
2024.10.28startup_b,4,225,249,25,2232.0,2334.0
2024.10.28startup_b,5,250,275,26,2335.0,2597.0
2024.10.28startup_b,6,276,324,49,2598.0,3405.0
2024.10.28startup_b,7,325,394,70,3409.0,4301.0
2024.10.28startup_b,8,395,439,45,4305.0,4708.0
2024.10.28startup_b,9,440,477,38,4712.0,4956.0
2024.10.28startup_b,10,478,531,54,4987.0,5421.0
2024.11.04startup_a,0,0,55,56,0.0,657.0
2024.11.04startup_a,1,56,154,99,671.0,2213.0
2024.11.04startup_a,2,155,174,20,2217.0,2345.0
2024.11.04startup_a,3,175,270,96,2346.0,3440.0
2024.11.04startup_a,4,271,313,43,3446.0,3959.0
2024.11.04startup_a,5,314,355,42,3963.0,4573.0
2024.11.04startup_a,6,356,397,42,4603.0,4980.0
2024.11.04startup_a,7,398,419,22,5016.0,5257.0
2024.11.04startup_b,0,0,61,62,0.0,617.0
2024.11.04startup_b,1,62,88,27,623.0,907.0
2024.11.04startup_b,2,89,144,56,911.0,1610.0
2024.11.04startup_b,3,145,207,63,1611.0,2454.0
2024.11.04startup_b,4,208,231,24,2461.0,2599.0
2024.11.04startup_b,5,232,335,104,2609.0,3380.0
2024.11.04startup_b,6,336,369,34,3437.0,4072.0
2024.11.04startup_b,7,370,436,67,4076.0,4875.0
2024.11.04startup_b,8,437,460,24,4883.0,5069.0
2024.11.11startup_a,0,0,19,20,0.0,114.0
2024.11.11startup_a,1,20,63,44,122.0,718.0
2024.11.11startup_a,2,64,154,91,749.0,2029.0
2024.11.11startup_a,3,155,237,83,2071.0,2937.0
2024.11.11startup_a,4,238,283,46,2941.0,3442.0
2024.11.11startup_a,5,284,303,20,3444.0,3618.0
2024.11.11startup_a,6,304,345,42,3619.0,4071.0
2024.11.11startup_a,7,346,377,32,4073.0,4434.0
2024.11.11startup_a,8,378,430,53,4437.0,5259.0
2024.11.11startup_b,0,0,26,27,0.0,168.0
2024.11.11startup_b,1,27,55,29,195.0,351.0
2024.11.11startup_b,2,56,136,81,367.0,867.0
2024.11.11startup_b,3,137,177,41,879.0,1280.0
2024.11.11startup_b,4,178,202,25,1280.0,1381.0
2024.11.11startup_b,5,203,282,80,1385.0,2047.0
2024.11.11startup_b,6,283,333,51,2073.0,2590.0
2024.11.11startup_b,7,334,407,74,2601.0,3014.0
2024.11.11startup_b,8,408,436,29,3016.0,3647.0
2024.11.11startup_b,9,437,464,28,3647.0,3894.0
2024.11.11startup_b,10,465,545,81,3902.0,4537.0
2024.11.11startup_b,11,546,581,36,4542.0,4870.0
2024.11.11startup_b,12,582,669,88,4873.0,5557.0
2024.11.18startup_a,0,0,81,82,0.0,1144.0
2024.11.18startup_a,1,82,187,106,1191.0,2987.0
2024.11.18startup_a,2,188,218,31,3034.0,3667.0
2024.11.18startup_a,3,219,252,34,3677.0,4239.0
2024.11.18startup_a,4,253,272,20,4252.0,4437.0
2024.11.18startup_a,5,273,304,32,4444.0,4766.0
2024.11.18startup_a,6,305,367,63,4767.0,5378.0
2024.11.18startup_b,0,0,44,45,0.0,314.0
2024.11.18startup_b,1,45,112,68,315.0,972.0
2024.11.18startup_b,2,113,156,44,1001.0,1352.0
2024.11.18startup_b,3,157,217,61,1354.0,1851.0
2024.11.18startup_b,4,218,280,63,1884.0,2643.0
2024.11.18startup_b,5,281,300,20,2652.0,2776.0
2024.11.18startup_b,6,301,340,40,2785.0,3200.0
2024.11.18startup_b,7,341,408,68,3219.0,3912.0
2024.11.18startup_b,8,409,483,75,3920.0,5196.0
2024.11.18startup_b,9,484,506,23,5197.0,5338.0
2024.12.02startup_b,0,0,60,61,0.0,570.0
2024.12.02startup_b,1,61,124,64,571.0,923.0
2024.12.02startup_b,2,125,147,23,924.0,1076.0
2024.12.02startup_b,3,148,248,101,1082.0,1574.0
2024.12.02startup_b,4,249,338,90,1576.0,2016.0
2024.12.02startup_b,5,339,456,118,2027.0,2690.0
2024.12.02startup_b,6,457,525,69,2693.0,3114.0
2024.12.02startup_b,7,526,556,31,3115.0,3291.0
2024.12.02startup_b,8,557,590,34,3295.0,3494.0
2024.12.02startup_b,9,591,640,50,3502.0,3842.0
2024.12.02startup_b,10,641,670,30,3842.0,3991.0
2024.12.02startup_b,11,671,741,71,3994.0,4356.0
2024.12.02startup_b,12,742,779,38,4361.0,4570.0
2024.12.02startup_b,13,780,819,40,4588.0,4794.0
2024.12.02startup_b,14,820,842,23,4803.0,5016.0
2024.12.02startup_b,15,843,871,29,5016.0,5155.0
2024.12.02startup_b,16,872,901,30,5157.0,5286.0
2024.12.02startup_b,17,902,921,20,5294.0,5420.0
2024.12.09startup_a,0,0,46,47,0.0,656.0
2024.12.09startup_a,1,47,69,23,688.0,868.0
2024.12.09startup_a,2,70,137,68,877.0,1406.0
2024.12.09startup_a,3,138,201,64,1445.0,2217.0
2024.12.09startup_a,4,202,234,33,2232.0,2669.0
2024.12.09startup_a,5,235,256,22,2673.0,2890.0
2024.12.09startup_a,6,257,320,64,2902.0,3446.0
2024.12.09startup_a,7,321,342,22,3448.0,3602.0
2024.12.09startup_a,8,343,441,99,3628.0,4722.0
2024.12.09startup_a,9,442,513,72,4747.0,5389.0
2024.12.13startup_a,0,0,48,49,0.0,562.0
2024.12.13startup_a,1,49,74,26,576.0,870.0
2024.12.13startup_a,2,75,187,113,883.0,2053.0
2024.12.13startup_a,3,188,218,31,2071.0,2572.0
2024.12.13startup_a,4,219,283,65,2574.0,3102.0
2024.12.13startup_a,5,284,311,28,3115.0,3428.0
2024.12.13startup_a,6,312,370,59,3441.0,4146.0
2024.12.13startup_a,7,371,393,23,4148.0,4346.0
2024.12.13startup_a,8,394,461,68,4351.0,5120.0
2024.12.13startup_a,9,462,490,29,5122.0,5205.0
2024.12.16startup_b,0,0,34,35,0.0,296.0
2024.12.16startup_b,1,35,63,29,298.0,447.0
2024.12.16startup_b,2,64,88,25,457.0,699.0
2024.12.16startup_b,3,89,121,33,709.0,1056.0
2024.12.16startup_b,4,122,230,109,1060.0,2017.0
2024.12.16startup_b,5,231,263,33,2022.0,2289.0
2024.12.16startup_b,6,264,306,43,2291.0,2729.0
2024.12.16startup_b,7,307,341,35,2730.0,2996.0
2024.12.16startup_b,8,342,361,20,3007.0,3089.0
2024.12.16startup_b,9,362,400,39,3089.0,3315.0
2024.12.16startup_b,10,401,436,36,3317.0,3543.0
2024.12.16startup_b,11,437,554,118,3545.0,4732.0
2024.12.16startup_b,12,555,661,107,4757.0,5283.0
2024.12.23startup_a,0,0,53,54,0.0,863.0
2024.12.23startup_a,1,54,81,28,888.0,1334.0
2024.12.23startup_a,2,82,120,39,1360.0,1725.0
2024.12.23startup_a,3,121,208,88,1728.0,2793.0
2024.12.23startup_a,4,209,273,65,2808.0,3416.0
2024.12.23startup_a,5,274,296,23,3417.0,3584.0
2024.12.23startup_a,6,297,353,57,3606.0,4299.0
2024.12.23startup_a,7,354,403,50,4312.0,5109.0
2024.12.23startup_a,8,404,438,35,5126.0,5340.0
2024.12.23startup_b,0,0,75,76,0.0,679.0
2024.12.23startup_b,1,76,95,20,687.0,886.0
2024.12.23startup_b,2,96,131,36,891.0,1262.0
2024.12.23startup_b,3,132,181,50,1311.0,1691.0
2024.12.23startup_b,4,182,231,50,1704.0,2254.0
2024.12.23startup_b,5,232,286,55,2275.0,2868.0
2024.12.23startup_b,6,287,328,42,2901.0,3489.0
2024.12.23startup_b,7,329,405,77,3508.0,4551.0
2024.12.23startup_b,8,406,438,33,4552.0,4800.0
2024.12.23startup_b,9,439,470,32,4816.0,4999.0
2024.12.23startup_b,10,471,530,60,5024.0,5511.0
2025.01.06startup_a,0,0,29,30,0.0,166.0
2025.01.06startup_a,1,30,103,74,167.0,1140.0
2025.01.06startup_a,2,104,147,44,1147.0,1480.0
2025.01.06startup_a,3,148,239,92,1483.0,2201.0
2025.01.06startup_a,4,240,312,73,2203.0,3021.0
2025.01.06startup_a,5,313,351,39,3025.0,3387.0
2025.01.06startup_a,6,352,400,49,3408.0,3710.0
2025.01.06startup_a,7,401,428,28,3710.0,3888.0
2025.01.06startup_a,8,429,457,29,3911.0,4081.0
2025.01.06startup_a,9,458,501,44,4089.0,4375.0
2025.01.06startup_a,10,502,580,79,4378.0,5186.0
2025.01.06startup_a,11,581,608,28,5191.0,5343.0
2025.01.06startup_a,12,609,656,48,5344.0,5684.0
2025.01.06startup_b,0,0,64,65,0.0,1058.0
2025.01.06startup_b,1,65,118,54,1059.0,1642.0
2025.01.06startup_b,2,119,173,55,1644.0,2241.0
2025.01.06startup_b,3,174,195,22,2247.0,2511.0
2025.01.06startup_b,4,196,268,73,2513.0,3168.0
2025.01.06startup_b,5,269,292,24,3172.0,3326.0
2025.01.06startup_b,6,293,325,33,3351.0,3845.0
2025.01.06startup_b,7,326,392,67,3847.0,4721.0
2025.01.06startup_b,8,393,472,80,4747.0,5663.0
2025.01.06startup_b,9,473,500,28,5669.0,5846.0
2025.01.13startup_a,0,0,49,50,0.0,610.0
2025.01.13startup_a,1,50,77,28,612.0,1086.0
2025.01.13startup_a,2,78,165,88,1110.0,2439.0
2025.01.13startup_a,3,166,233,68,2478.0,3339.0
2025.01.13startup_a,4,234,281,48,3344.0,3957.0
2025.01.13startup_a,5,282,313,32,3959.0,4357.0
2025.01.13startup_a,6,314,377,64,4373.0,5047.0
2025.01.13startup_a,7,378,414,37,5055.0,5418.0
2025.01.13startup_b,0,0,22,23,0.0,218.0
2025.01.13startup_b,1,23,57,35,220.0,585.0
2025.01.13startup_b,2,58,172,115,592.0,1788.0
2025.01.13startup_b,3,173,212,40,1794.0,2246.0
2025.01.13startup_b,4,213,263,51,2248.0,3169.0
2025.01.13startup_b,5,264,360,97,3199.0,4390.0
2025.01.13startup_b,6,361,396,36,4397.0,4660.0
2025.01.13startup_b,7,397,438,42,4667.0,5396.0
2025.01.13startup_b,8,439,470,32,5413.0,5654.0
2025.02.10startup_b,0,0,19,20,0.0,184.0
2025.02.10startup_b,1,20,117,98,186.0,1164.0
2025.02.10startup_b,2,118,146,29,1217.0,1500.0
2025.02.10startup_b,3,147,197,51,1508.0,2013.0
2025.02.10startup_b,4,198,222,25,2014.0,2265.0
2025.02.10startup_b,5,223,315,93,2267.0,3265.0
2025.02.10startup_b,6,316,361,46,3265.0,3854.0
2025.02.10startup_b,7,362,407,46,3861.0,4791.0
2025.02.10startup_b,8,408,436,29,4794.0,5043.0
2025.02.10startup_b,9,437,480,44,5053.0,5413.0
2025.02.24startup_a,0,0,19,20,0.0,152.0
2025.02.24startup_a,1,20,51,32,201.0,626.0
2025.02.24startup_a,2,52,92,41,636.0,1107.0
2025.02.24startup_a,3,93,131,39,1110.0,1626.0
2025.02.24startup_a,4,132,244,113,1628.0,3055.0
2025.02.24startup_a,5,245,293,49,3089.0,3802.0
2025.02.24startup_a,6,294,364,71,3811.0,4964.0
2025.02.24startup_a,7,365,390,26,4966.0,5132.0
2025.02.24startup_b,0,0,20,21,0.0,105.0
2025.02.24startup_b,1,21,108,88,106.0,1058.0
2025.02.24startup_b,2,109,163,55,1071.0,1816.0
2025.02.24startup_b,3,164,199,36,1823.0,2177.0
2025.02.24startup_b,4,200,276,77,2189.0,3239.0
2025.02.24startup_b,5,277,305,29,3241.0,3834.0
2025.02.24startup_b,6,306,366,61,3857.0,4626.0
2025.02.24startup_b,7,367,404,38,4650.0,5124.0
2025.03.02startup_a,0,0,68,69,0.0,893.0
2025.03.02startup_a,1,69,120,52,916.0,1907.0
2025.03.02startup_a,2,121,164,44,1957.0,2617.0
2025.03.02startup_a,3,165,215,51,2621.0,3502.0
2025.03.02startup_a,4,216,260,45,3554.0,4485.0
2025.03.02startup_a,5,261,323,63,4487.0,5258.0
2025.03.17startup_a,0,0,30,31,0.0,203.0
2025.03.17startup_a,1,31,54,24,205.0,533.0
2025.03.17startup_a,2,55,146,92,565.0,2118.0
2025.03.17startup_a,3,147,173,27,2129.0,2507.0
2025.03.17startup_a,4,174,221,48,2510.0,3304.0
2025.03.17startup_a,5,222,314,93,3305.0,4506.0
2025.03.17startup_a,6,315,363,49,4522.0,5126.0
2025.03.17startup_a,7,364,385,22,5126.0,5271.0
2025.03.17startup_b,0,0,38,39,0.0,339.0
2025.03.17startup_b,1,39,109,71,342.0,1046.0
2025.03.17startup_b,2,110,150,41,1049.0,1483.0
2025.03.17startup_b,3,151,291,141,1484.0,3464.0
2025.03.17startup_b,4,292,383,92,3468.0,4223.0
2025.03.17startup_b,5,384,403,20,4254.0,4387.0
2025.03.17startup_b,6,404,425,22,4390.0,4503.0
2025.03.17startup_b,7,426,497,72,4509.0,5003.0
2025.03.17startup_b,8,498,527,30,5008.0,5167.0
2025.03.17startup_b,9,528,547,20,5172.0,5354.0
2025.03.17startup_b,10,548,595,48,5356.0,5659.0
2025.03.17startup_b,11,596,617,22,5660.0,5815.0
2025.03.17startup_b,12,618,695,78,5820.0,6270.0
2025.03.17startup_b,13,696,717,22,6275.0,6353.0
2025.03.24startup_b,0,0,63,64,0.0,554.0
2025.03.24startup_b,1,64,139,76,565.0,1251.0
2025.03.24startup_b,2,140,174,35,1253.0,1478.0
2025.03.24startup_b,3,175,194,20,1480.0,1619.0
2025.03.24startup_b,4,195,296,102,1624.0,2746.0
2025.03.24startup_b,5,297,318,22,2749.0,2854.0
2025.03.24startup_b,6,319,341,23,2860.0,3174.0
2025.03.24startup_b,7,342,381,40,3184.0,3677.0
2025.03.24startup_b,8,382,477,96,3685.0,4620.0
2025.03.24startup_b,9,478,513,36,4623.0,4950.0
2025.03.24startup_b,10,514,558,45,4954.0,5274.0
2025.03.25startup_a,0,0,23,24,0.0,351.0
2025.03.25startup_a,1,24,105,82,362.0,1770.0
2025.03.25startup_a,2,106,194,89,1776.0,2989.0
2025.03.25startup_a,3,195,244,50,2995.0,3695.0
2025.03.25startup_a,4,245,285,41,3697.0,4340.0
2025.03.25startup_a,5,286,332,47,4370.0,4923.0
2025.03.25startup_a,6,333,357,25,4956.0,5114.0
2025.03.31startup_a,0,0,45,46,0.0,811.0
2025.03.31startup_a,1,46,96,51,813.0,1491.0
2025.03.31startup_a,2,97,170,74,1509.0,2361.0
2025.03.31startup_a,3,171,227,57,2367.0,3488.0
2025.03.31startup_a,4,228,268,41,3491.0,4018.0
2025.03.31startup_a,5,269,315,47,4028.0,4648.0
2025.03.31startup_a,6,316,356,41,4654.0,5127.0
2025.03.31startup_b,0,0,59,60,0.0,895.0
2025.03.31startup_b,1,60,108,49,926.0,1486.0
2025.03.31startup_b,2,109,158,50,1492.0,1976.0
2025.03.31startup_b,3,159,208,50,1978.0,2539.0
2025.03.31startup_b,4,209,261,53,2586.0,3602.0
2025.03.31startup_b,5,262,321,60,3613.0,4687.0
2025.03.31startup_b,6,322,344,23,4690.0,5284.0
2025.03.31startup_b,7,345,366,22,5286.0,5541.0
2025.03.31startup_b,8,367,440,74,5542.0,6325.0
2025.04.07startup_a,0,0,35,36,0.0,426.0
2025.04.07startup_a,1,36,82,47,449.0,1083.0
2025.04.07startup_a,2,83,161,79,1111.0,1967.0
2025.04.07startup_a,3,162,211,50,1973.0,2579.0
2025.04.07startup_a,4,212,279,68,2596.0,3338.0
2025.04.07startup_a,5,280,322,43,3371.0,3707.0
2025.04.07startup_a,6,323,354,32,3717.0,3889.0
2025.04.07startup_a,7,355,386,32,3892.0,4201.0
2025.04.07startup_a,8,387,435,49,4237.0,4913.0
2025.04.07startup_a,9,436,474,39,4913.0,5270.0
2025.04.07startup_a,10,475,541,67,5280.0,5932.0
2025.04.07startup_b,0,0,63,64,0.0,347.0
2025.04.07startup_b,1,64,155,92,348.0,1135.0
2025.04.07startup_b,2,156,254,99,1136.0,2030.0
2025.04.07startup_b,3,255,284,30,2079.0,2324.0
2025.04.07startup_b,4,285,343,59,2325.0,2755.0
2025.04.07startup_b,5,344,417,74,2755.0,3456.0
2025.04.07startup_b,6,418,469,52,3464.0,3997.0
2025.04.07startup_b,7,470,517,48,4001.0,4448.0
2025.04.07startup_b,8,518,540,23,4454.0,4645.0
2025.04.07startup_b,9,541,568,28,4647.0,4828.0
2025.04.07startup_b,10,569,611,43,4832.0,5194.0
2025.04.07startup_b,11,612,665,54,5199.0,5696.0
2025.04.07startup_b,12,666,721,56,5713.0,6214.0
2025.04.07startup_b,13,722,746,25,6224.0,6378.0
2025.04.07startup_b,14,747,766,20,6379.0,6482.0
2025.04.14startup_a,0,0,42,43,0.0,708.0
2025.04.14startup_a,1,43,119,77,737.0,1826.0
2025.04.14startup_a,2,120,216,97,1828.0,2996.0
2025.04.14startup_a,3,217,269,53,2997.0,3512.0
2025.04.14startup_a,4,270,298,29,3517.0,3919.0
2025.04.14startup_a,5,299,321,23,3926.0,4084.0
2025.04.14startup_a,6,322,354,33,4096.0,4417.0
2025.04.14startup_a,7,355,433,79,4452.0,5331.0
2025.04.14startup_a,8,434,454,21,5342.0,5553.0
2025.04.14startup_a,9,455,474,20,5557.0,6224.0
2025.04.14startup_b,0,0,28,29,0.0,296.0
2025.04.14startup_b,1,29,97,69,299.0,1538.0
2025.04.14startup_b,2,98,153,56,1538.0,2235.0
2025.04.14startup_b,3,154,179,26,2240.0,2512.0
2025.04.14startup_b,4,180,276,97,2525.0,3707.0
2025.04.14startup_b,5,277,337,61,3716.0,4278.0
2025.04.14startup_b,6,338,392,55,4280.0,4924.0
2025.04.14startup_b,7,393,416,24,4948.0,5207.0
